Binod Ratti 
Vaishali Mital 
Parminder Saran 
Rohini Srivastava 
Heer Iyer 
Nilam Chander 
Wafiq Dey 
Divya Keer 
Tulsi Bhasin 
Prabha Gaba 
Radhika Mathai 
Anshula Ratta 
Sara Panchal 
Moti Sekhon 
Anusha Deshpande 
Pinky Upadhyay 
Jatin Gour 
Ananya Mehan 
Brock Bir 
Aslam Dhawan 
Yadunandan Mishra 
Kamlesh Bal 
Azhar Sarma 
Alpa Anthony 
Binoya Ramkissoon 
Javed Mangal 
Charlie Maharaj 
Rupal Chohan 
Ratan Lanka 
Anand Roy 
Omar Padmanabhan 
Prabhat Nanda 
Nishtha Sinha 
Anjana De 
Kasturi Hayre 
Alaknanda Singh 
Biren Dhillon 
Vikrant Gera 
Tabeed Viswanathan 
Radheshyam Sabharwal 
Bimla Krishnan 
Atul Venkataraman 
Jagdish Varma 
Tejaswani Dora 
Nirmal Saha 
Bhaagyasree Solanki 
Anshu Raj 
Mukul Rau 
Nalini Dyal 
Sohail Ravel 
Srinivasan Borah 
Aditya Pandit 
Binita Kunda 
Nikita Sur 
Wafiq Lachman 
Pinky Narasimhan 
Animesh Brar 
Zeeshan Hari 
Madhavi Suresh 
Hari Mistry 
Ruchi Nori 
Aslam Mallick 
Ajay Dube 
Atul Kaur 
Raj Khalsa 
Fakaruddin Jhaveri 
Akhil Singh 
Tabeed Chakraborty 
Ankita Chand 
Jasmin Bumb 
Hemendra Sood 
Binoya D’Alia 
Azhar Dubey 
Yamini Lala 
Poonam Mehta 
Sameedha Banik 
Wafa Virk 
Payal Murthy 
Mustafa Krish 
Prabha Kibe 
Obaid Bhasin 
Pranab Chaudry 
Krishna Sidhu 
Sneha Nigam 
Kirti Karpe 
Nutan Sathe 
Sahil Prabhakar 
Sameedha Thomas 
Natwar Trivedi 
Rupal Masih 
John Bahl 
Marlo Divan 
Bharat Rana 
Aishwarya Thaker 
Namita Walla 
Raghavan Borra 
Aastha Pandey 
Namita Loke 
Neela Venkataraman 
Veena Bhat 
Ram Pradhan 
Radha Rai 
Naseer Shenoy 
Fatima Boase 
Darpan Bahri 
Hassan Bhandari 
Charlie Binnani 
Sara Muni 
Pranab Bahri 
Namita Bandi 
Mehul Oza 
Babita Singhal 
Aruna Choudhury 
Sameera Deep 
Sai Jaggi 
Nitin Kumer 
Abbas Panchal 
Deepesh Bhatti 
Ratan More 
Komal Anne 
Himani Agarwal 
Falguni Patil 
Yamini Nagi 
Siddharth Jaggi 
Radhika Sant 
Alex Gobin 
Shanti Gokhale 
Radha Bobal 
Parminder Ramanathan 
Ghalib Rajan 
Naval Iyer 
Chinmay Shankar 
Nilam Chada 
Preshita Kata 
Suraj More 
Fatima Mathew 
Monin Rama 
Nitika Dora 
Natwar Ratti 
Aarti Chawla 
Bagwati Parekh 
Wafa Samra 
Padama Sathe 
Kajal Pingle 
Gowri Bali 
Virat Purohit 
Radheshyam Khalsa 
Chameli Balay 
Yasmin Hora 
Aabha Bava 
Maya Din 
Hetan Parikh 
Labeen Viswanathan 
Damini Johal 
Radheshyam Ramanathan 
Priyanka Mehta 
Somnath Singh 
Namita Jani 
Komal Prashad 
Bharat Mogul 
Kamini Mukhopadhyay 
Mukul Gala 
Jatin Khare 
Aarushi Mathew 
Anil Sodhi 
Sona Taneja 
Kajal Chaudhuri 
Mukul Parekh 
Lakshmi Sami 
Drishti Raj 
Radhika Das 
Wafiq Raju 
Kartik Bala 
Kamini Gupta 
Naseer Sachdeva 
Pradeep Dass 
Prabha Desai 
Ramesh Pardeshi 
Ritika Bhattacharyya 
Abhishek Gandhi 
Shashank Devan 
Teena Deshpande 
Monica Mannan 
Gajendra Binnani 
Jagat Mallick 
Javed Sodhani 
Arvind Maharaj 
Ujwal Kumar 
Anshula Edwin 
Sukriti Chand 
Kalyani Raju 
Teena Chadha 
Fatima Issac 
Parvez Basak 
Mitesh Bhatt 
Yamini Om 
Lata Srinivas 
Akanksha Mathur 
Nagma Sankaran 
Neerendra Nagy 
Darpan Chopra 
Aabha Pingle 
Mahmood Muni 
Virat Batra 
Yadunandan Ray 
Jagat Bassi 
Fatima Mittal 
Yogesh Naidu 
Mridula Bandi 
Bhola Sood 
Lata Goda 
Vikrant Chander 
Darpan Pandya 
Aditya Gola 
Siddharth Kadakia 
Ram Gopal Loyal 
Ankita Kant 
Malik Grover 
Aditi Dash 
Padmini Barman 
Shweta Mody 
Sweta Doctor 
Divya Ravel 
Akhila Parikh 
Zeenat Gill 
Aditya Bhagat 
Bagwati Sinha 
Prerna Munshi 
Shashank Varty 
Nancy Minhas 
Pravin Kara 
Munni Suri 
Neha Jaggi 
Narmada Chokshi 
Aishwarya Pant 
Mohit Tak 
Bhairavi Tella 
Ambika Jhaveri 
Iqbal Kulkarni 
Sid Thakur 
Prabhat Wason 
Nalini Sankaran 
Rohini Tella 
Harbhajan Prabhakar 
Yasmin Chauhan 
Trishana Kamdar 
Preet Sabharwal 
Mohit Dayal 
Dipti Tailor 
Gulzar Goswami 
Namita Mukherjee 
Nagma Kota 
Virat Mehan 
Binoya Dasgupta 
Ajeet Mutti 
Kusum Bhatia 
Zahir Choudhary 
Yadunandan Warrior 
Dhanush Sem 
Azhar Memon 
Kushal Char 
Fakaruddin Rout 
Himani Wagle 
Sona Dube 
Nikita Sodhi 
Kamini Sheth 
Anusha Tella 
Elias Amin 
Pranay Kale 
Himesh Kunda 
Seema Shan 
Ajay Chia 
Devendra Khalsa 
Nutan Bhargava 
Ganesh Rastogi 
Indrani Kapoor 
Nitin Mammen 
Sai Dar 
Juhi Jacob 
Prasoon Goyal 
Tulsi Balay 
Chinmay Rai 
Akshay Oak 
Padmini Saha 
Kasturi Bhatia 
Raju Kulkarni 
Niyati Sarna 
Karim Natarajan 
Shobha Rau 
Eddie Sagar 
Jyoti Walla 
Chhavi Chatterjee 
Meghana Pandya 
Anil Persad 
Payal Natarajan 
Indrani Vyas 
Uma Sarna 
Arjun Kohli 
Savita Dixit 
Ajeet Chaudhuri 
Nupur Mallick 
Hassan Bhatnagar 
Teena Prakash 
Chitranjan Memon 
Kasturi Sant 
Faisal Loke 
Bishnu Dad 
Sai Karan 
Jatin Nagarajan 
Azhar Kapoor 
Chameli Saha 
Naseer Bedi 
Veena Binnani 
Raj Pall 
Rimi Naruka 
Gaurav Upadhyay 
Kalpit Chakraborty 
Leela Biswas 
Dipti Deol 
Astha Wali 
Munaf Shenoy 
Maya Bumb 
Kajol Pau 
Anusha Khalsa 
Zahir Borde 
Hema Chaudhary 
Wafa Sen 
Pradeep Bhakta 
Sid Ramachandran 
Uday Anand 
Shweta Chaudhary 
Qadim Mitra 
Mini Chanda 
Teena Comar 
Govind Batra 
Kamlesh Behl 
Jaswant Gara 
Abhishek Oza 
Suraj Sanghvi 
Elias Sandal 
Mohan Borah 
Satishwar Murty 
Chitranjan Pillai 
Rupal Upadhyay 
Alaknanda Ganguly 
Leelawati Manda 
Meghana Padmanabhan 
Kamini Arora 
Nirmal Subramanian 
Pranay Tandon 
Sameedha Ramanathan 
Arpit Nagi 
Uma Upadhyay 
Nikita Narasimhan 
Nakul Devan 
Rupesh Misra 
Avantika Kothari 
Aditi Srinivasan 
Amrit Raman 
Lalita Subramaniam 
Feroz Bhargava 
Kalpit Sidhu 
Aslam Jhaveri 
Faraz Bava 
Ram Gopal Bhardwaj 
Sabina Grover 
Munni Bhat 
Qadim Agarwal 
Bimla Karpe 
Farah Roy 
Afreen Bava 
Seema Biswas 
Sharad Cherian 
Surya Raman 
Heer Sahni 
Ujwal Tripathi 
Albert Cheema 
Nawab, Ghosh 
Tanuja Raghavan 
Hira Dewan 
Jiya Badal 
Chameli Devan 
Rehman Mand 
Hina Palla 
Nilam Subramaniam 
Akhila Malhotra 
Mini Balasubramanian 
Neha Kara 
Kabeer Varkey 
Pooja Sandal 
Pooja Dutta 
Kalpana Borra 
Mahmood Varkey 
Krishna Bumb 
Narayan Parmer 
Jyoti Sodhi 
Hetan Samuel 
Jawahar Johal 
Naina Pall 
Gulzar Jhaveri 
Anand Matthai 
Rupal Sankar 
Prabhat Shetty 
Sukriti Korpal 
Chitranjan Raj 
Nilima Iyer 
Lakshmi Sheth 
Nayan Bahl 
Usman Narain 
Pamela Dada 
Binoya Karnik 
Lalita Narula 
Ganesh Dewan 
Bagwati Mehrotra 
Rajesh Doctor 
Riddhi Prakash 
Rita Gole 
Tanuja Meda 
Jasmin Johal 
Umesh Chaudry 
Varun Parsa 
Ankita Thaker 
Jayshree Ghose 
Manjari Dey 
Jaswant Dubey 
Aarif Vohra 
Naresh Lodi 
Pamela Pai 
Kunti Saran 
Ram Balay 
Kalpit Mody 
Mini Mann 
Qabeel Savant 
Mukti Borde 
Nancy Johal 
Manpreet Mahajan 
Parveen Bhasin 
Neela Rau 
Akhila Goel 
Trishana Setty 
Rajendra Sha 
Amrit Bobal 
Mukti Sengupta 
Alaknanda Atwal 
Mukund Madan 
Anees Basak 
Sameera Bahri 
Astha Pandey 
Chinmay Maheshwari 
Kushal Maheshwari 
Basanti Sarna 
Nancy Puri 
Rahim Chaudry 
Mustafa Shukla 
Farah Zachariah 
Himesh Korpal 
Chitranjan Ravel 
Nandini Raj 
Neela Kanda 
Wahid Saraf 
Chameli Bath 
Anshula Iyengar 
Drishti Badal 
Aatif Merchant 
Hina Dhaliwal 
Zeeshan Kale 
Anjana Dalal 
Chhavi Kara 
Teena Krish 
Savita Bandi 
Vaishali Nagar 
Bhairavi Garg 
Gaurav Mukherjee 
Kirti Apte 
Devendra Khare 
Bimla Mistry 
Teena Wagle 
Govind Mander 
Samir Sabharwal 
Pradeep Ben 
Esha Mahal 
Monin Datta 
Albert Nagarajan 
Ricky Chanda 
Brock Sura 
Shweta Trivedi 
Rita Baria 
Hassan Vala 
Babita Kibe 
Wafiq Lala 
Ghanshyam Rout 
Azhar George 
Chitra Jaggi 
Hema Chaudhary 
Indrani Malhotra 
Hrishikesh Divan 
Aadish Pal 
Bhola Mogul 
Sid Sarraf 
Astha Nagy 
Iqbal Rout 
Kartik Baral 
Aabha Deo 
Amolika Krishnan 
Shanti Chauhan 
Munaf Krishna 
Harbhajan Nawal 
Chhavi Mohanty 
Deep Dugal 
Sumit Khanna 
Narmada Sani 
Pamela Nadig 
Lalita Mand 
Ritika Murty 
Pradeep Soman 
Sai Borra 
Neerendra Biswas 
Supriya Bhatti 
Nandini Sibal 
Aayushi Aurora 
Amir Nayak 
Monica Warrior 
Urmi Kurian 
Julie Ganesan 
Sabina Thomas 
Mukti Zachariah 
Mowgli Anand 
Biren Sodhi 
Ratan Prabhu 
Jawahar Ganguly 
Ajinkya Pradhan 
Anand Edwin 
Balaji Som 
Nakul Som 
Nupoor Masih 
Aarti Deo 
Urmi Chander 
Harbhajan Tank 
Naval Munshi 
Seema Borde 
Samir Varkey 
Raju Swamy 
Sameera Raval 
Pamela Ben 
John Pandey 
John Kunda 
Charu Mishra 
Urmi Jacob 
Animesh Choudhury 
Ibrahim Chakrabarti 
Anshula Luthra 
Omar Mani 
Naina Naik 
Pirzada Bawa 
Qadim Mahadeo 
Alaknanda Halder 
John Mani 
Himesh Johal 
Neerendra Chandra 
Pradeep Ghose 
Ishat Saran 
Neela Rajagopal 
Suresh Bhatia 
Jyoti Ray 
Atul Salvi 
Raghavan Chaudhary 
Mini Karpe 
Pamela Nagar 
Hari Masih 
Amrit Banik 
Naresh Bhalla 
Sneha Pai 
Padmini Datta 
Fakaruddin Dhingra 
Ajeet Beharry 
Farah Bhatt 
Divya Atwal 
Himesh Koshy 
Rita Ahuja 
Mehul Chakrabarti 
Dhanush Amin 
Radheshyam Venkataraman 
Tanuja Thaker 
Wahid Dad 
Pradeep Sane 
Kabeer Malpani 
Aatif Sahota 
Roma Andra 
Nawab, Tella 
Ibrahim Bansal 
Uday Meda 
Vineeta Khurana 
Gaurav Dada 
Rimi Bawa 
Mohit Bajaj 
Darpan Nagy 
Ram Gopal Samuel 
Naval Kapadia 
Kiran Butala 
Upasana Wali 
Jasmin Golla 
Zeenat Deol 
Hina Mall 
Aabha Reddy 
Jiya Grewal 
Harbhajan Khanna 
Akanksha Naruka 
David Thomas 
Bharat Shroff 
Madhavi Pillay 
Surya Sami 
Ajeet Bhavsar 
Aruna Mannan 
Upasana Sahota 
Baldev Naruka 
Sushant Ravel 
Aastha Sant 
Urmi Nagar 
Sara Gole 
Jasmin Radhakrishnan 
Nishita Bhatia 
Lakshmi Mehan 
Rakhi Mangal 
Ganesh Gobin 
Aarif Choudhury 
Namita Malpani 
Meghana Banik 
Teena Din 
Pravin Mohabir 
Preshita Varughese 
Pirzada Om 
Baldev Srinivas 
Urmi Banik 
Sukriti Mohanty 
Mehul Sangha 
Vivek Golla 
Neerendra Guha 
Subhash Shukla 
Alka Kari 
Srinivasan Narasimhan 
Natwar Agrawal 
Nupoor Raghavan 
David Dave 
Aditya Khan 
Chhavi Pardeshi 
Aarti Thakur 
Payal Din 
Heena Chadha 
Arun Kanda 
Rimi Mogul 
Kamlesh Kuruvilla 
Vijayent Sachdev 
Yasmin Kamdar 
Jack Chhabra 
Padama Bath 
Daanish Amble 
Sona Mahal 
Rajendra Mall 
Daanish Radhakrishnan 
Urvashi Nazareth 
Sapna Ratti 
Marlo Narula 
Radheshyam Kashyap 
Vaishali Dash 
Komal Mutti 
Navami Contractor 
Pamela Oza 
Shashank Magar 
Vaishali Rajagopal 
Aruna Bhasin 
Urvashi Suri 
Rashid Mutti 
Azhar Sarna 
Ram Ramaswamy 
Urmila Comar 
Raju Nagi 
Uma Raju 
Saurabh Mane 
Nishi Murty 
Harbhajan Soni 
Wafa Narine 
